subject,clip,emotion,aus,n_frame,lebar,tinggi,bright_mean,bright_std,contrast_mean,energi_max,energi_mean,gerak_sesaat,border_max,center_max,end_over_peak,e_argmax_raw,e_argmax_nolight,e_argmax_center,e_argmax_center_nolight,e_cross80,e_cross90,e_cross95
sub01,EP02_01f,happiness,12,41,0,0,137.1092987060547,0.06691339612007141,32.831443786621094,1.35546875,0.9447885155677795,0.42729490995407104,1.1205357313156128,1.625,1.0,1.0,1.0,1.0,1.0,0.65,0.85,0.925
sub01,EP03_02,others,18,31,0,0,133.7094268798828,0.10583705455064774,29.995288848876953,0.9013671875,0.7318548560142517,0.4500976502895355,0.7299107313156128,0.89453125,0.8829902410507202,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.3,0.43333333333333335,0.5
sub01,EP04_02,others,4,56,0,0,137.56045532226562,0.08065181225538254,35.13821029663086,2.2529296875,1.6686488389968872,0.43748223781585693,2.2700893878936768,2.46484375,0.9852622747421265,0.9090909090909091,0.9636363636363636,0.8727272727272727,0.9636363636363636,0.41818181818181815,0.509090909090909,0.5636363636363636
sub01,EP04_03,others,4,26,0,0,139.19325256347656,0.24834825098514557,34.68986511230469,0.71875,0.5831956267356873,0.43839845061302185,0.6696428656578064,0.75390625,0.9932065010070801,0.96,0.96,0.88,0.88,0.4,0.64,0.72
sub01,EP04_04,others,4,44,0,0,137.35845947265625,0.08192189037799835,35.24620819091797,2.1923828125,1.5390846729278564,0.4397710859775543,2.220982074737549,2.25390625,0.9879732728004456,0.9302325581395349,0.813953488372093,0.9534883720930233,0.9534883720930233,0.5116279069767442,0.627906976744186,0.6976744186046512
sub01,EP19_01,others,4,41,0,0,134.0302734375,0.050892435014247894,32.03812026977539,2.24609375,1.234779953956604,0.42827147245407104,1.8169642686843872,2.734375,1.0,1.0,1.0,1.0,1.0,0.8,0.9,0.95
sub01,EP19_03f,others,4,81,0,0,132.377685546875,0.07309173792600632,31.548755645751953,0.91015625,0.740680456161499,0.41705322265625,0.8125,1.09375,0.8401287794113159,0.8125,0.75,0.7625,0.7625,0.15,0.1875,0.225
sub01,EP19_05f,disgust,4+L10,51,0,0,134.38369750976562,0.10059165209531784,31.73678207397461,1.240234375,0.929323673248291,0.4435156285762787,0.9709821343421936,1.6640625,0.995275616645813,0.98,1.0,0.98,0.96,0.34,0.46,0.96
sub01,EP19_06f,disgust,4+5+L10,126,0,0,134.37644958496094,0.2254803478717804,31.236858367919922,2.8623046875,2.2618350982666016,0.4339062571525574,2.1495535373687744,3.89453125,0.5609006881713867,0.552,0.552,0.544,0.616,0.208,0.272,0.328
sub02,EP01_11f,repression,15,51,0,0,110.11927795410156,0.4224022626876831,39.57257080078125,2.1787109375,1.7187882661819458,0.8108789324760437,1.7611607313156128,2.8046875,0.876288652420044,0.42,0.46,0.42,0.42,0.22,0.3,0.38
sub02,EP02_04f,repression,12+15,111,0,0,116.04649353027344,0.7630165815353394,39.42117691040039,5.5703125,2.938758134841919,1.4509233236312866,3.294642925262451,7.265625,1.0,1.0,1.0,1.0,1.0,0.9,0.9454545454545454,0.9818181818181818
sub02,EP03_02f,repression,15,121,0,0,109.69159698486328,0.77260822057724,40.27454376220703,4.2001953125,3.1024906635284424,1.511621117591858,3.017857074737549,4.7890625,0.830969512462616,0.5916666666666667,0.5916666666666667,0.5416666666666666,0.55,0.375,0.49166666666666664,0.525
sub02,EP06_01f,repression,14,100,0,0,113.53672790527344,0.7971665859222412,40.92033767700195,3.2568359375,2.327275276184082,1.387645959854126,2.5982143878936768,3.73828125,0.9325337409973145,0.7676767676767676,0.7676767676767676,1.0,0.98989898989899,0.46464646464646464,0.5454545454545454,0.6060606060606061
sub02,EP06_02f,repression,14,76,0,0,113.12334442138672,0.8349058032035828,41.65762710571289,5.4501953125,3.273733139038086,1.576015591621399,2.953125,6.0546875,0.957176148891449,0.9866666666666667,1.0,1.0,1.0,0.7733333333333333,0.8533333333333334,0.9333333333333333
sub02,EP08_04,others,14,91,0,0,108.37706756591797,0.9292450547218323,40.15052795410156,2.51171875,1.7377125024795532,1.7930121421813965,1.8191964626312256,3.14453125,0.6018662452697754,0.5222222222222223,0.6111111111111112,0.43333333333333335,0.5444444444444444,0.23333333333333334,0.32222222222222224,0.3888888888888889
sub02,EP09_01,happiness,1+12,100,0,0,108.04236602783203,0.734015703201294,43.0669059753418,3.2021484375,2.294570207595825,1.4479068517684937,2.314732074737549,3.98828125,1.0,1.0,1.0,1.0,1.0,0.29292929292929293,0.696969696969697,0.8585858585858586
sub02,EP09_06f,others,4,141,0,0,111.12521362304688,0.6619576811790466,43.07108688354492,4.0947265625,3.1623449325561523,1.3278180360794067,4.426339149475098,4.26171875,0.8251848220825195,0.6928571428571428,0.6642857142857143,0.7071428571428572,0.7071428571428572,0.40714285714285714,0.5071428571428571,0.5785714285714286
sub02,EP09_10,others,17,41,0,0,113.7098159790039,0.6237837672233582,40.92853927612305,1.9794921875,1.2375428676605225,1.268774390220642,1.9553571939468384,2.265625,0.6665022373199463,0.975,0.975,0.975,0.975,0.475,0.825,0.975
sub02,EP11_01,surprise,1+L2,91,0,0,112.15434265136719,0.8754874467849731,41.0916633605957,3.203125,2.2545502185821533,1.7525064945220947,2.736607074737549,3.109375,0.6039634346961975,0.4777777777777778,0.5,0.9666666666666667,0.5444444444444444,0.2777777777777778,0.34444444444444444,0.3888888888888889
sub02,EP13_04,surprise,1,56,0,0,110.83229064941406,0.4872555434703827,41.37726593017578,1.984375,1.4598039388656616,1.011292576789856,1.7700892686843872,1.94921875,0.8100393414497375,0.5636363636363636,0.5636363636363636,0.6727272727272727,0.9272727272727272,0.2727272727272727,0.34545454545454546,0.4909090909090909
sub02,EP14_01,surprise,1+L2,46,0,0,100.80169677734375,0.17592853307724,38.80864715576172,2.1064453125,1.4166313409805298,0.49802517890930176,2.0044643878936768,1.7890625,0.8414464592933655,0.8222222222222222,0.8444444444444444,0.8444444444444444,0.8444444444444444,0.4666666666666667,0.5111111111111111,0.6
sub02,EP15_04,others,17,71,0,0,110.18619537353516,0.49800872802734375,41.210113525390625,2.2470703125,1.4562747478485107,1.0102818012237549,2.1808035373687744,2.13671875,0.49152541160583496,0.5857142857142857,0.5857142857142857,0.5857142857142857,0.5857142857142857,0.32857142857142857,0.44285714285714284,0.5
sub03,EP01_2,surprise,1,41,0,0,76.8545150756836,0.1513899266719818,26.48708152770996,1.5283203125,0.9875428676605225,0.41350096464157104,1.3861607313156128,1.95703125,1.0,1.0,1.0,1.0,1.0,0.75,0.9,0.95
sub03,EP07_03,others,4,61,0,0,79.85301971435547,0.07157187163829803,26.786134719848633,6.1162109375,3.645780086517334,0.397705078125,4.2879462242126465,8.7109375,1.0,1.0,1.0,1.0,1.0,0.65,0.8166666666666667,0.9166666666666666
sub03,EP07_04,disgust,4+L10,86,0,0,79.08845520019531,0.04732315242290497,26.761409759521484,2.00390625,1.4194222688674927,0.3720932900905609,1.4040178060531616,2.71875,0.9010721445083618,0.7411764705882353,0.7411764705882353,0.7411764705882353,0.7411764705882353,0.4588235294117647,0.611764705882353,0.6823529411764706
sub03,EP08_1,others,4,81,0,0,75.59053039550781,0.1218317449092865,29.641855239868164,2.0654296875,1.5444637537002563,0.39177244901657104,1.4419642686843872,2.94140625,0.9446808695793152,0.5625,0.5625,0.5625,0.95,0.3875,0.4375,0.4875
sub03,EP09_03,disgust,4+9,61,0,0,80.19534301757812,0.11510010808706284,27.600744247436523,1.9765625,0.8766970038414001,0.4192871153354645,1.4933035373687744,2.69140625,0.9906126260757446,0.9833333333333333,0.9833333333333333,1.0,1.0,0.85,0.95,0.9833333333333333
sub03,EP18_06,disgust,4+7,101,0,0,82.08473205566406,0.0847199410200119,27.886167526245117,4.0693359375,3.133798837661743,0.3859570324420929,2.640625,5.859375,0.9133669137954712,0.54,0.54,0.56,0.56,0.33,0.39,0.44
sub03,EP19_08,disgust,4+7+9,41,0,0,82.4952392578125,0.0806552991271019,27.797075271606445,3.76953125,2.266792058944702,0.3870605528354645,2.392857074737549,5.53515625,1.0,1.0,1.0,1.0,1.0,0.675,0.8,0.9
